player,matches,ace,dfs,svpt,svgms,last,ace_pct,df_pct,ace_pct_raw,ace_hard,n_hard,ace_clay,n_clay,ace_grass,n_grass,ret_matches,ace_conc,svpt_faced,conceded_pct,ret_mult
Mate Valkusz,5.0,17.0,21.0,391.0,63.0,20240202.0,0.06136822509941392,0.04459150077893544,0.043478260869565216,0.07122313818521438,309.0,0.04745112810280254,82.0,,,5,39.0,386.0,0.089748430093685,1.1381354775344452
Matej Dodig,3.0,8.0,13.0,230.0,34.0,20250721.0,0.06276550167243874,0.04328869383513958,0.034782608695652174,,,0.04582768848500131,230.0,,,4,5.0,256.0,0.05570467386225063,0.7064130873479664
Mateus Alves,1.0,5.0,2.0,75.0,10.0,20230220.0,0.07693108642870823,0.03425658340239566,0.06666666666666667,,,0.054466197359054364,75.0,,,1,4.0,57.0,0.07777301105828537,0.9862704337860235
Matheus Pucinelli De Almeida,3.0,3.0,2.0,151.0,24.0,20220221.0,0.06269013802837824,0.029531537415858324,0.019867549668874173,,,0.043323854347642146,151.0,,,3,5.0,158.0,0.06548793199576418,0.8304784682800465
Mathias Bourgue,2.0,5.0,3.0,169.0,25.0,20231106.0,0.06422190870586364,0.030354792822738026,0.029585798816568046,0.08245763042446137,79.0,0.044635599480715965,90.0,,,2,5.0,157.0,0.06560550458462551,0.8319694529627755
Matic Kriznik,2.0,4.0,6.0,127.0,21.0,20240202.0,0.06744263008280153,0.03846655999267161,0.031496062992125984,0.07494725801388424,127.0,,,,,2,14.0,124.0,0.08691272147640536,1.102174730612108
Matija Pecotic,2.0,12.0,11.0,146.0,22.0,20230213.0,0.07974774002497512,0.04628548922369585,0.0821917808219178,0.08699121789984798,146.0,,,,,2,4.0,146.0,0.06509572537296046,0.8255047403666901
Mats Moraing,3.0,27.0,8.0,265.0,38.0,20210520.0,0.08803348278742318,0.03349154453554577,0.1018867924528302,,,0.0564524062425847,200.0,0.11247659347350612,65.0,3,32.0,284.0,0.09289804978601815,1.1780770554410847
Matteo Arnaldi,136.0,884.0,451.0,11801.0,1778.0,20251020.0,0.07503829735707207,0.038133913377275466,0.07490890602491314,0.08015430658976498,7229.0,0.06380996629305159,3939.0,0.08741685959843208,633.0,145,703.0,12307.0,0.05780611206843758,0.733062259637789
Matteo Berrettini,308.0,3130.0,579.0,24821.0,4056.0,20260815.0,0.12535356512642784,0.02352293236256048,0.12610289674066316,0.12899931421783356,13883.0,0.08918413160767696,6315.0,0.1559429854599204,4623.0,289,1508.0,23939.0,0.0632541298349824,0.802150736125568
Matteo Gigante,13.0,66.0,59.0,1083.0,159.0,20250727.0,0.06577361163427944,0.049407873982560975,0.060941828254847646,0.08293222550515154,438.0,0.05059468301009648,645.0,,,13,61.0,1024.0,0.06498754638598063,0.8241328796792444
Matteo Martineau,2.0,8.0,6.0,130.0,21.0,20240610.0,0.07460804915780454,0.03824882474743007,0.06153846153846154,0.08605055549742265,59.0,,,0.08981234812140201,71.0,2,15.0,145.0,0.0853986533094246,1.082974231010638
Matteo Viola,1.0,0.0,6.0,62.0,8.0,20190916.0,0.06827330314639915,0.04387852189640246,0.0,0.07683377699852163,62.0,,,,,1,2.0,42.0,0.07588747975935839,0.9623592627151728
Matthew Ebden,34.0,199.0,167.0,2561.0,396.0,20240729.0,0.07785959677596636,0.061219816655230644,0.07770402186645842,0.080814007181447,1685.0,0.04667413085242316,240.0,0.09198997680036713,636.0,34,233.0,2487.0,0.09163223624996066,1.1620247713863496
Matthew Forbes,1.0,5.0,7.0,112.0,15.0,20240826.0,0.07137161338600861,0.04154663499245691,0.044642857142857144,0.07909610346350976,112.0,,,,,1,7.0,103.0,0.07662478340683183,0.9717093030226089
Matthias Bachinger,8.0,60.0,26.0,692.0,100.0,20210105.0,0.08382991396853151,0.03687900834811166,0.08670520231213873,0.08805074504103079,412.0,0.06598741727286886,280.0,,,8,42.0,639.0,0.07078177675999654,0.8976118157095607
Mattia Bellucci,44.0,341.0,148.0,3532.0,540.0,20251013.0,0.0947462528111995,0.041269551657207006,0.09654586636466592,0.09688670061997667,2299.0,0.0748444212214294,587.0,0.09589064623822213,646.0,54,368.0,4229.0,0.08631286801763587,1.0945677507236058
Mattias Siimar,1.0,0.0,2.0,49.0,8.0,20210917.0,0.07025003575420136,0.03624026083772369,0.0,0.0790583629695256,49.0,,,,,1,2.0,37.0,0.07675575755980872,0.973370238261113
Max Hans Rehberg,4.0,2.0,17.0,307.0,49.0,20240415.0,0.04744309201363,0.04423179224347657,0.006514657980456026,,,0.03234999115353723,307.0,,,4,11.0,321.0,0.05900452989408656,0.7482598719286894
Max Purcell,81.0,658.0,202.0,6607.0,1037.0,20240826.0,0.09840763037728505,0.03086511732783473,0.09959134251551385,0.11207593598181192,4146.0,0.05632736316020875,1089.0,0.08989933180879253,1372.0,81,612.0,6553.0,0.09255605724919264,1.1737401122900253
Maxim Shin,1.0,2.0,4.0,33.0,7.0,20240202.0,0.07746481767583467,0.04219833052225851,0.06060606060606061,0.08659862580442725,33.0,,,,,1,1.0,44.0,0.07329339201269462,0.9294626059911109
Maxime Cressy,101.0,1479.0,946.0,8682.0,1385.0,20240729.0,0.1663226454584493,0.10573352533760602,0.17035245335176227,0.1768166619603911,5626.0,0.10043856005030763,903.0,0.14778755031930293,2153.0,101,785.0,8610.0,0.09062622264746241,1.1492671134452548
Maxime Janvier,5.0,24.0,6.0,461.0,69.0,20240701.0,0.06450901980677864,0.02354457272489888,0.052060737527114966,0.08403660632620638,70.0,0.04953330077493014,304.0,0.0909684106061198,87.0,5,33.0,474.0,0.07384698633139178,0.9364829553566991
Maximilian Marterer,64.0,418.0,146.0,5059.0,797.0,20250526.0,0.08234883056487204,0.029359200790646262,0.08262502470844041,0.10203608765853657,2349.0,0.05598972971373937,1991.0,0.08784773544698869,719.0,64,466.0,4735.0,0.09689235950411615,1.2287304829571144
