player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Michael Mmoh,Prajnesh Gunneswaran,Hard,O,20181231,3,5.0,0.0,48.0,10.0,Pune,R32,7-5 6-3,1,39.0,34.0,5.0,1.0,2.0,103.0,110.0
Steve Darcis,Roberto Carballes Baena,Hard,O,20181231,3,6.0,2.0,66.0,10.0,Pune,R32,6-3 6-4,1,39.0,25.0,16.0,5.0,7.0,,73.0
Benoit Paire,Thiago Monteiro,Hard,O,20181231,3,18.0,3.0,79.0,10.0,Pune,R32,7-6(5) 6-3,1,44.0,37.0,18.0,7.0,7.0,52.0,120.0
Jiri Vesely,Antoine Hoang,Hard,O,20181231,3,10.0,1.0,81.0,15.0,Pune,R32,4-6 6-4 6-4,1,47.0,37.0,20.0,3.0,5.0,89.0,149.0
Ilya Ivashka,Hubert Hurkacz,Hard,O,20181231,3,2.0,7.0,110.0,15.0,Pune,R32,6-7(9) 6-2 6-3,1,64.0,48.0,31.0,6.0,6.0,91.0,86.0
Jaume Munar,Radu Albot,Hard,O,20181231,3,4.0,1.0,78.0,10.0,Pune,R32,6-2 7-6(4),1,58.0,39.0,10.0,9.0,10.0,81.0,98.0
Simone Bolelli,Denis Istomin,Hard,O,20181231,3,3.0,1.0,61.0,10.0,Pune,R32,6-4 6-4,1,43.0,31.0,11.0,3.0,4.0,141.0,92.0
Laslo Djere,Arjun Kadhe,Hard,O,20181231,3,8.0,2.0,70.0,12.0,Pune,R32,7-5 7-6(6),1,43.0,37.0,16.0,2.0,3.0,93.0,392.0
Ernests Gulbis,Hyeon Chung,Hard,O,20181231,3,8.0,1.0,63.0,10.0,Pune,R16,7-6(2) 6-2,1,32.0,23.0,16.0,1.0,4.0,95.0,25.0
Ivo Karlovic,Evgeny Donskoy,Hard,O,20181231,3,17.0,2.0,51.0,11.0,Pune,R16,6-4 7-5,1,36.0,31.0,13.0,0.0,0.0,100.0,97.0
